Date,Terrain,Trial,Forward Velocities,Exponent
21-Aug,flat,1,0.3704344014253737,0.7334497524015481
21-Aug,flat,4,0.2055510346228517,0.6723361452463633
21-Aug,flat,5,0.2291107186883248,
21-Aug,flat,6,0.22239639510438194,
21-Aug,terrain,1,0.20866013325945618,0.08318634939896613
21-Aug,terrain,2,0.14111498360985125,-0.08317969828601167
21-Aug,terrain,3,0.21489063892225962,-0.032836041610817504
21-Aug,terrain,4,0.1621485779914583,-0.005449128851537644
21-Aug,terrain,5,0.1484172248440724,0.47056433509816975
23-Aug,flat,1,0.23541132106391943,
23-Aug,flat,2,0.2776512503272915,0.6190149634657637
24-Aug,amputate_R2,1,0.15436300336142403,
24-Aug,amputate_R2,3,0.10090169046330869,0.5720302229511701
24-Aug,amputate_R2,4,0.22280618418930026,
24-Aug,amputate_R2,5,0.11848596660000979,0.5002105110567139
24-Aug,amputate_R2,6,0.16070699820401754,0.6862604217705376
27-Aug,amputate_L3,2,0.18223228554426285,0.6809221742673006
27-Aug,amputate_L3,3,0.185322169531834,
27-Aug,amputate_L3,4,0.09906559556785256,0.7373864120470826
27-Aug,amputate_L3,5,0.13879776087109008,
27-Aug,amputate_L3,6,0.06947600569314948,0.6077210577353235
27-Aug,amputate_R2_L2,1,0.10709554990637184,0.5801816227905663
27-Aug,amputate_R2_L2,2,0.09342192584938484,
27-Aug,amputate_R2_L2,3,0.08419454408124548,0.6635660063905108
27-Aug,amputate_R2_L2,5,0.05925789749890465,0.6442692892100873
27-Aug,amputate_R2_L2,6,0.0804176711301449,
27-Aug,amputate_R3_L3,1,0.09024367977521049,
27-Aug,amputate_R3_L3,2,0.12023704229095725,0.32834913411398764
27-Aug,amputate_R3_L3,3,0.13309042076278063,
27-Aug,amputate_R3_L3,4,0.0772575398708017,0.1563811963610624
27-Aug,amputate_R3_L3,5,0.09643159843197861,
27-Aug,amputate_R3_L3,6,0.09226226527184644,0.3089499472584935
29-Aug,predefined_amputate_L3,1,-0.009009415325119669,
29-Aug,predefined_amputate_L3,2,0.05321207408206514,
29-Aug,predefined_amputate_L3,3,0.04274110435943709,
29-Aug,predefined_amputate_L3,4,0.0547069373406804,
29-Aug,predefined_amputate_L3,5,0.056146547600037525,
29-Aug,predefined_amputate_R2,1,0.05838626625825897,
29-Aug,predefined_amputate_R2,2,0.09331092806901362,
29-Aug,predefined_amputate_R2,3,0.06022624351038578,
29-Aug,predefined_amputate_R2,4,0.0674021100974682,
29-Aug,predefined_amputate_R2,5,0.061498593077361136,
29-Aug,predefined_amputate_R3_L3,1,0.0207148914637818,
29-Aug,predefined_amputate_R3_L3,2,-0.0019309652248285564,
29-Aug,predefined_amputate_R3_L3,3,0.012277726962374232,
29-Aug,predefined_amputate_R3_L3,4,-0.036088057798690044,
29-Aug,predefined_amputate_R3_L3,5,0.01456294512632601,
29-Aug,predefined_flat,1,0.13493120573570044,
29-Aug,predefined_flat,2,0.09712366625335613,
29-Aug,predefined_flat,3,0.1587354027793348,
29-Aug,predefined_flat,4,0.14221919572924813,
29-Aug,predefined_flat,5,0.17203693704528863,
29-Aug,predefined_terrain,1,0.029973969000576983,
29-Aug,predefined_terrain,2,0.0233151617013256,
29-Aug,predefined_terrain,3,0.024828818079511428,
29-Aug,predefined_terrain,4,-0.0004282867800821975,
29-Aug,predefined_terrain,5,-0.036736777040695855,
5-Aug,flat,1,0.312833160903915,
5-Aug,flat,2,0.3663495878745539,0.5723434427895964
9-Aug,flat,1,0.13742930667605135,
11-Sep,predefined_amputate_R2_L2,1,0.011442612829823702,
11-Sep,predefined_amputate_R2_L2,2,-0.013147940478810918,
11-Sep,predefined_amputate_R2_L2,3,0.015744953713249046,
11-Sep,predefined_amputate_R2_L2,4,0.02288021334230638,
11-Sep,predefined_amputate_R2_L2,5,0.015217615135187823,
